budget,id,popularity,year,revenue,runtime,title,vote_average,vote_count
70000000,2503,18.173269,2007,442824138,115,The Bourne Ultimatum,7.3,2938
140000000,608,16.775716,2002,441818803,88,Men in Black II,6.1,3188
61000000,82695,13.52408,2012,441809770,157,Les Mis̩rables,7.2,1925
8000000,9552,12.137595,1973,441306145,122,The Exorcist,7.5,2046
25000000,788,11.16553,1993,441286195,125,Mrs. Doubtfire,7,1638
155000000,87101,30.188198,2015,440603537,126,Terminator Genisys,5.8,3677
200000000,296,20.818907,2003,435000000,109,Terminator 3: Rise of the Machines,5.9,2177
160000000,68735,12.572718,2016,433677183,123,Warcraft,6.3,2325
98000000,1734,16.945657,2001,433013274,130,The Mummy Returns,6,2258
140000000,36669,12.996474,2002,431971116,133,Die Another Day,5.8,1112
90000000,8358,21.296343,2000,429632142,143,Cast Away,7.5,3304
13000000,77338,16.086919,2011,426480871,112,The Intouchables,8.2,5410
100000000,68718,19.785025,2012,425368238,165,Django Unchained,7.8,10297
150000000,605,15.368205,2003,424988211,129,The Matrix Revolutions,6.4,3155
22000000,581,11.654349,1990,424208848,181,Dances with Wolves,7.6,1084
65000000,1271,18.108408,2006,422610419,117,300,7,5092
225000000,2454,12.490891,2008,419651413,150,The Chronicles of Narnia: Prince Caspian,6.3,1668
80000000,564,23.984065,1999,415885488,124,The Mummy,6.6,2796
155000000,10140,12.383398,2010,415686217,113,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.2,1555
120000000,324668,19.133256,2016,415484914,123,Jason Bourne,5.9,2386
120000000,76170,3.918287,2013,415440673,126,The Wolverine,6.3,4110
65000000,4564,9.170332,2008,415252786,145,Sex and the City,6,525
81000000,207703,28.224212,2015,414351546,130,Kingsman: The Secret Service,7.6,6069
15000000,45269,11.260387,2010,414211549,118,The King's Speech,7.6,2817
150000000,18360,15.417181,2009,413106170,105,Night at the Museum: Battle of the Smithsonian,5.9,2026
25000000,380,11.267467,1988,412800000,133,Rain Man,7.6,1762
35000000,268,19.10673,1989,411348924,126,Batman,7,2145
25000000,619,9.805017,1992,411006740,129,The Bodyguard,6.2,681
105000000,278154,20.151037,2016,408579038,100,Ice Age: Collision Course,5.6,1170
72000000,2675,11.211568,2002,408247917,106,Signs,6.4,1624
125000000,282035,33.704935,2017,407778013,110,The Mummy,5.4,2122
110000000,36658,0.913096,2003,407711549,133,X2,6.8,3572
180000000,68726,33.949359,2013,407602906,131,Pacific Rim,6.7,4903
130000000,70981,16.624854,2012,403170142,124,Prometheus,6.3,5152
145000000,1735,14.250227,2008,401128639,112,The Mummy: Tomb of the Dragon Emperor,5.2,1418
4000000,770,14.240357,1939,400176459,238,Gone with the Wind,7.7,995
170000000,20526,21.259,2010,400062763,125,TRON: Legacy,6.3,2895
150000000,956,15.687983,2006,397850012,126,Mission: Impossible III,6.5,2062
170000000,58595,18.751554,2012,396600000,127,Snow White and the Huntsman,5.8,3183
37000000,8966,31.282029,2008,392616625,122,Twilight,5.8,3688
100000000,106646,16.382422,2013,392000694,180,The Wolf of Wall Street,7.9,6768
270000000,1452,13.284712,2006,391081192,154,Superman Returns,5.4,1429
48000000,8367,10.639244,1991,390493908,143,Robin Hood: Prince of Thieves,6.6,937
18000000,85,19.901576,1981,389925971,115,Raiders of the Lost Ark,7.7,3949
165000000,47933,16.993841,2016,389681935,120,Independence Day: Resurgence,4.9,2550
150000000,13475,15.362632,2009,385680446,127,Star Trek,7.4,4574
40000000,334298,5.361771,2015,385284817,111,Monster Hunt,5.7,81
100000000,9836,15.088318,2006,384335608,108,Happy Feet,5.9,1457
110000000,1571,14.886039,2007,383531464,128,Live Free or Die Hard,6.4,2122
59000000,425,17.328902,2002,383257136,81,Ice Age,7.1,3954
175000000,15512,14.243634,2009,381509870,94,Monsters vs Aliens,6,1464
19000000,105,25.778509,1985,381109762,116,Back to the Future,8,6239
130000000,929,11.295121,1998,379014294,139,Godzilla,5.3,1075
115000000,36955,11.396099,1994,378882411,141,True Lies,6.8,1138
150000000,76341,29.36178,2015,378858340,120,Mad Max: Fury Road,7.3,9629
55000000,341174,29.130443,2017,378827494,118,Fifty Shades Darker,6,2341
15000000,12405,11.258181,2008,377910544,120,Slumdog Millionaire,7.6,2918
25000000,10020,23.433511,1991,377350553,84,Beauty and the Beast,7.5,3029
45000000,82675,16.376482,2012,376141306,91,Taken 2,6.1,2783
150000000,272,28.505341,2005,374218673,140,Batman Begins,7.5,7511
70000000,3981,9.963079,2000,374111707,127,What Women Want,6.1,1021
30000000,862,21.946943,1995,373554033,81,Toy Story,7.7,5415
132000000,270946,22.201607,2014,373552094,92,Penguins of Madagascar,6.5,1375
150000000,2080,1.456541,2009,373062864,107,X-Men Origins: Wolverine,6.2,4086
180000000,2268,11.481379,2007,372234864,113,The Golden Compass,5.8,1347
130000000,17578,19.201504,2011,371940071,107,The Adventures of Tintin,6.7,2095
130000000,72559,10.560608,2013,371876278,110,G.I. Joe: Retaliation,5.4,3045
200000000,534,16.507496,2009,371353001,115,Terminator Salvation,5.9,2496
140000000,1771,19.323582,2011,370569774,124,Captain America: The First Avenger,6.6,7174
178000000,137113,31.982986,2014,370541256,113,Edge of Tomorrow,7.6,4979
152000000,281338,146.161786,2017,369907963,140,War for the Planet of the Apes,6.7,1675
23000000,544,11.688958,1998,369884651,119,There's Something About Mary,6.5,1616
61000000,210577,154.801009,2014,369330363,145,Gone Girl,7.9,6023
44000000,5503,10.08937,1993,368875760,130,The Fugitive,7.2,1240
135000000,228161,13.422713,2015,368871007,94,Home,6.8,1539
93000000,331,0.648867,2001,368780809,92,Jurassic Park III,5.7,2109
5000000,8346,6.719949,2002,368744044,95,My Big Fat Greek Wedding,6.2,686
70000000,8488,13.35076,2005,368100420,118,Hitch,6.3,1721
75000000,10555,17.999273,2004,367275019,90,Shark Tale,5.8,1612
90000000,1572,15.138855,1995,366101666,128,Die Hard: With a Vengeance,6.9,2094
42000000,509,9.874043,1999,363889678,124,Notting Hill,7,1309
120000000,9487,16.869209,1998,363258859,95,A Bug's Life,6.8,2379
85000000,13804,1.498902,2009,363164265,107,Fast & Furious,6.5,2426
110000000,163,11.869347,2004,362744280,125,Ocean's Twelve,6.4,2169
125000000,86834,14.924487,2014,362637473,139,Noah,5.5,2408
100000000,869,17.319836,2001,362211740,119,Planet of the Apes,5.6,1270
103000000,109439,25.085639,2013,362000072,100,The Hangover Part III,6,2991
135000000,36643,12.130127,1999,361832400,128,The World Is Not Enough,6,878
60000000,6477,11.805233,2007,361366633,92,Alvin and the Chipmunks,5.5,1212
18000000,772,13.293722,1992,358991681,120,Home Alone 2: Lost in New York,6.3,2459
85000000,76492,16.231945,2012,358375603,91,Hotel Transylvania,6.8,2622
102000000,180,20.666063,2002,358372926,145,Minority Report,7.1,2663
40000000,38575,11.690781,2010,357852395,140,The Karate Kid,6.2,1675
15000000,744,20.301019,1986,356830601,110,Top Gun,6.7,1736
180000000,258489,45.38298,2016,356743061,109,The Legend of Tarzan,5.5,2488
150000000,13448,22.211558,2009,356613439,138,Angels & Demons,6.5,2183
